Location_ID,Heritage_Type,Tourist_Review_Text,Social_Media_Post,Policy_Context,Visitor_Count,Ticket_Price,Accommodation_Occupancy,Transport_Availability,Food_Service_Rating,Guided_Tour_Availability,Souvenir_Sales,Local_Workshop_Participation,Resource_Utilization,Booking_Inquiries,Booking_Conversions,Tourist_Satisfaction,Repeat_Visit_Rate,Marketing_Reach,Revenue_Generated,Operational_Cost,Booking_Conversion_Rate,Economic_Benefit_Score,Industry_Chain_Performance
L0001,Traditional Market,Historic place with good guides and storytelling,Visited this amazing heritage destination today!,Cultural heritage conservation initiative,449,96,48.57,13,2.76,5,3580,108,66.31,55,85,2.95,39.72,35406,8344,29020,1.0,0.4647372578241431,0.58795
L0002,Handicraft Center,Beautiful heritage site with great cultural experience,Visited this amazing heritage destination today!,Cultural heritage conservation initiative,445,22,48.2,13,3.28,5,4932,156,82.85,352,141,4.77,54.89,31896,29456,18735,0.4005681818181818,0.6149783793596655,0.7622
L0003,Heritage Street,Excellent food and local cultural activities,A perfect place for cultural tourism,Local tourism development scheme,251,16,66.64,7,4.17,6,9487,127,66.86,118,203,3.61,31.19,17668,54831,26797,1.0,0.6255325507856649,0.68396
L0004,Traditional Market,Well preserved heritage with engaging workshops,Great destination for heritage tourism,Community-based tourism program,579,41,47.31,9,3.01,8,8113,81,50.39,88,376,3.57,38.74,10462,28075,30869,1.0,0.5216326909651027,0.55769
L0005,Fort,Crowded during peak season but worth visiting,Great destination for heritage tourism,Cultural heritage conservation initiative,142,32,66.03,18,4.72,8,4251,35,46.43,160,330,4.25,55.54,12360,91362,47516,1.0,0.7628135701497315,0.63881
L0006,Folk Art Center,Very authentic rural tourism experience,A perfect place for cultural tourism,Local tourism development scheme,407,58,65.41,1,3.22,3,17259,96,90.5,219,155,2.73,52.05,26223,61755,43080,0.7077625570776256,0.6516551695296652,0.7220300000000001
L0007,Heritage Street,Well preserved heritage with engaging workshops,Loved the traditional village lifestyle,Rural tourism promotion program,445,81,88.63,13,3.33,8,18538,83,42.66,286,324,3.87,19.27,37091,8102,2190,1.0,0.4320361053321198,0.66873
L0008,Heritage Street,Crowded during peak season but worth visiting,Visited this amazing heritage destination today!,Sustainable rural tourism policy,109,56,56.29,8,3.04,7,17916,130,89.37,27,288,3.05,28.09,44873,78912,25505,1.0,0.7101607250022505,0.70935
L0009,Traditional Market,Historic place with good guides and storytelling,Visited this amazing heritage destination today!,Community-based tourism program,526,46,70.84,9,3.13,0,6127,58,77.98,434,363,2.89,49.44,32070,26069,31521,0.836405529953917,0.5364839799150449,0.69784
L0010,Historic Village,Amazing traditional crafts and friendly locals,A perfect place for cultural tourism,Local tourism development scheme,775,57,80.89,1,2.69,6,1887,161,62.26,81,269,4.69,46.55,40929,91486,12651,1.0,0.8033606482861401,0.77311
L0011,Fort,Well preserved heritage with engaging workshops,A perfect place for cultural tourism,Rural tourism promotion program,661,38,72.78,9,3.24,6,19816,5,50.29,159,253,4.99,48.36,13672,84979,15488,1.0,0.7776105480150831,0.7189
L0012,Traditional Market,Crowded during peak season but worth visiting,Loved the traditional village lifestyle,Sustainable rural tourism policy,50,46,92.47,11,4.65,9,4597,158,57.08,414,243,4.93,17.97,33674,58084,11861,0.5869565217391305,0.6205992527800404,0.8015299999999999
L0013,Fort,Historic place with good guides and storytelling,Enjoyed local food and cultural activities,Rural tourism promotion program,604,32,73.13,4,4.22,3,15883,159,69.14,420,374,4.55,33.0,10682,31214,48223,0.8904761904761904,0.5979892879980987,0.76895
L0014,Fort,Historic place with good guides and storytelling,Great destination for heritage tourism,Local tourism development scheme,360,47,89.6,16,4.69,6,6525,41,76.13,430,220,4.8,44.76,2014,84566,32104,0.5116279069767442,0.7643140784681061,0.8613199999999999
L0015,Folk Art Center,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Cultural heritage conservation initiative,217,53,53.48,14,2.76,9,11612,56,78.03,352,305,4.81,30.29,39573,56630,40411,0.8664772727272727,0.69856841166645,0.7611599999999998
L0016,Heritage Street,Nice cultural atmosphere but transport could improve,Enjoyed local food and cultural activities,Sustainable rural tourism policy,241,14,70.84,18,3.64,9,4480,72,64.6,416,371,2.94,38.22,13598,81363,25721,0.8918269230769231,0.6668529617642782,0.64732
L0017,Handicraft Center,Well preserved heritage with engaging workshops,Great destination for heritage tourism,Rural tourism promotion program,83,61,69.88,9,3.07,4,16298,45,60.57,380,177,2.71,47.98,16469,20968,39787,0.46578947368421053,0.4381061599830701,0.61452
L0018,Folk Art Center,Well preserved heritage with engaging workshops,Visited this amazing heritage destination today!,Cultural heritage conservation initiative,83,49,94.42,1,4.3,4,9403,111,82.26,361,188,2.82,35.18,9297,22339,49388,0.5207756232686981,0.47739863885294026,0.7815000000000001
L0019,Folk Art Center,Nice cultural atmosphere but transport could improve,Enjoyed local food and cultural activities,Community-based tourism program,737,20,51.25,3,4.93,4,5032,87,90.9,129,242,2.91,40.51,19974,37504,30469,1.0,0.6006006324828214,0.6919500000000001
L0020,Fort,Beautiful heritage site with great cultural experience,A perfect place for cultural tourism,Local tourism development scheme,466,87,47.75,1,4.54,5,12274,55,90.3,191,160,4.56,27.16,11524,17153,11562,0.837696335078534,0.5845794421676719,0.7780499999999999
L0021,Cultural Museum,Beautiful heritage site with great cultural experience,Loved the traditional village lifestyle,Local tourism development scheme,757,11,73.64,3,2.59,6,13623,177,70.34,77,150,4.85,28.25,13202,68207,15260,1.0,0.7302189794356816,0.79328
L0022,Heritage Street,Nice cultural atmosphere but transport could improve,Great destination for heritage tourism,Sustainable rural tourism policy,207,44,52.3,14,3.29,4,14651,122,44.35,363,266,3.38,19.38,21436,45541,24291,0.7327823691460055,0.49669993377094035,0.5371
L0023,Historic Village,Very authentic rural tourism experience,Loved the traditional village lifestyle,Rural tourism promotion program,549,54,75.15,14,2.57,8,8425,157,44.03,433,341,2.59,59.59,33328,73885,39887,0.7875288683602771,0.6073994441630663,0.5569700000000001
L0024,Folk Art Center,Excellent food and local cultural activities,Great destination for heritage tourism,Community-based tourism program,415,58,93.49,13,2.6,8,13892,163,62.15,416,147,3.27,40.35,11784,66725,32458,0.35336538461538464,0.5838785840411103,0.72527
L0025,Handicraft Center,Historic place with good guides and storytelling,Enjoyed local food and cultural activities,Sustainable rural tourism policy,389,44,92.06,1,2.7,6,17679,25,80.31,27,369,4.27,19.72,29852,27943,21744,1.0,0.5875466077876355,0.8536199999999999
L0026,Cultural Museum,Excellent food and local cultural activities,Visited this amazing heritage destination today!,Sustainable rural tourism policy,384,81,52.71,15,3.19,9,8724,49,67.35,472,233,4.86,18.22,33562,36699,34995,0.4936440677966102,0.5645145320059586,0.7191299999999999
L0027,Cultural Museum,Historic place with good guides and storytelling,Exploring rural culture and traditional crafts,Rural tourism promotion program,632,41,49.4,7,3.26,2,17309,129,74.5,382,31,3.62,21.43,5361,32813,28091,0.08115183246073299,0.468719859778145,0.6634
L0028,Historic Village,Nice cultural atmosphere but transport could improve,Loved the traditional village lifestyle,Community-based tourism program,376,77,70.84,16,3.5,3,5483,105,86.38,395,98,3.34,45.89,33576,72322,2115,0.2481012658227848,0.6504166990124888,0.75844
L0029,Folk Art Center,Beautiful heritage site with great cultural experience,Loved the traditional village lifestyle,Rural tourism promotion program,163,80,72.27,1,3.51,3,15113,107,42.22,83,276,4.13,34.94,2376,61449,26970,1.0,0.6277357210014103,0.63349
L0030,Handicraft Center,Very authentic rural tourism experience,Exploring rural culture and traditional crafts,Local tourism development scheme,467,48,76.42,15,4.43,6,2496,6,90.81,327,84,3.03,36.78,21966,43776,41256,0.25688073394495414,0.5453336580672767,0.7743000000000001
L0031,Heritage Street,Beautiful heritage site with great cultural experience,Loved the traditional village lifestyle,Cultural heritage conservation initiative,517,57,80.78,15,2.85,1,12271,154,58.2,409,99,4.41,44.8,34681,77255,33008,0.24205378973105135,0.6601190598460885,0.73974
L0032,Temple,Excellent food and local cultural activities,Loved the traditional village lifestyle,Local tourism development scheme,192,46,73.05,19,2.89,4,18951,79,42.57,346,281,3.54,46.45,6994,72577,29177,0.8121387283236994,0.6308056059463238,0.60183
L0033,Handicraft Center,Beautiful heritage site with great cultural experience,Great destination for heritage tourism,Local tourism development scheme,658,69,46.15,6,4.07,3,2975,48,85.95,457,393,4.94,47.33,16852,70201,16190,0.8599562363238512,0.7865378595519283,0.7786500000000001
L0034,Historic Village,Nice cultural atmosphere but transport could improve,Great destination for heritage tourism,Sustainable rural tourism policy,358,90,83.46,6,3.93,9,5132,45,91.38,297,166,4.84,13.99,45604,33342,45859,0.5589225589225589,0.6016842657643291,0.9063000000000001
L0035,Cultural Museum,Very authentic rural tourism experience,Exploring rural culture and traditional crafts,Local tourism development scheme,450,83,44.37,1,2.89,8,8398,153,82.27,210,167,4.16,51.62,24771,79139,45233,0.7952380952380952,0.7669606775660985,0.71179
L0036,Heritage Street,Excellent food and local cultural activities,Visited this amazing heritage destination today!,Community-based tourism program,369,13,41.1,16,4.63,0,5278,64,84.25,241,322,4.12,18.72,25251,63810,20421,1.0,0.6940502087438362,0.7075
L0037,Handicraft Center,Very authentic rural tourism experience,Enjoyed local food and cultural activities,Local tourism development scheme,261,32,82.33,18,3.32,9,15627,1,87.92,98,74,2.81,41.74,36481,35867,5953,0.7551020408163265,0.5620838050378334,0.7672699999999999
L0038,Temple,Well preserved heritage with engaging workshops,Enjoyed local food and cultural activities,Community-based tourism program,366,23,70.16,13,3.42,2,8925,78,68.73,56,15,3.2,21.27,22488,38890,15262,0.26785714285714285,0.472845220131942,0.6774
